"","pharm_id","name","state","county","call_made","survey_admin","notes","callback.notes","num_nonfunc","novax","callback","reached","waittime","shing_avail","shing_yes_txt","shing_no_txt","flu_avail","flu_yes_txt","flu_no_txt","hdflu_avail","hdflu_yes_txt","hdflu_no_txt","recommendation","waittime_sec","id","pharmtype","popestimate","FIPScode","age65plus_tot","prop_65plus","total_pop","total_white","median_income","FIPS code","nchs_code","region","pct_white","metro","inclusion"
"1",1787,"CVS/Pharmacy","AL","Baldwin County","Y","Y","","",0,0,0,"Yes","3:34",1,NA,NA,1,NA,NA,1,NA,NA,NA,214,1787,"Chain",223234,1003,46830,0.20977987,212830,186940,58320,1003,4,"South",0.878353615561716,1,0
"2",1879,"Elberta Pharmacy","AL","Baldwin County","Y","N","no vax (have shing but can't administer)","",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1879,"Independent",223234,1003,46830,0.20977987,212830,186940,58320,1003,4,"South",0.878353615561716,1,2
"3",5254,"CVS/Pharmacy","AL","Baldwin County","Y","Y","","",0,0,0,"Yes","5:00",1,NA,NA,1,NA,NA,1,NA,NA,NA,300,5254,"Chain",223234,1003,46830,0.20977987,212830,186940,58320,1003,4,"South",0.878353615561716,1,0
"4",102,"Walgreen Drug Store","AL","Baldwin County","Y","Y","","",0,0,0,"Yes","1:13",1,NA,NA,1,"Yes but if you came in right now (evening) it'd be a 45 min wait",NA,1,"Yes we just got a new box and shouldn't run out for the next three weeks",NA,NA,73,102,"Chain",223234,1003,46830,0.20977987,212830,186940,58320,1003,4,"South",0.878353615561716,1,0
"5",9576,"CVS/Pharmacy","AL","Chambers County","Y","Y","","",0,0,0,"Yes","0:30",1,NA,NA,1,NA,NA,1,NA,NA,NA,30,9576,"Chain",33254,1017,6715,0.2019306,33660,19765,42289,1017,5,"South",0.587195484254308,0,0
"6",8298,"The Drug Store","AL","Clay County","Y","Y","","",0,0,0,"Yes","0:05",0,NA,NA,1,NA,NA,1,NA,NA,NA,5,8298,"Independent",13235,1027,2785,0.2104269,13337,11183,40845,1027,6,"South",0.83849441403614,0,0
"7",166,"Colbert Pharmacy","AL","Colbert County","Y","N","no vax; also initial number was wrong, new number is 706-788-2102","",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,"Independent",55241,1033,11065,0.20030412,54771,44359,48065,1033,4,"South",0.809899399317157,1,2
"8",4100,"Debbie's Drugs","AL","Fayette County","Y","Y","","",0,0,0,"Yes","0:20",1,NA,NA,1,NA,NA,0,NA,NA,NA,20,4100,"Independent",16302,1057,3545,0.21745798,16494,14419,39856,1057,6,"South",0.874196677579726,0,0
"9",6942,"Section Pharmacy","AL","Jackson County","Y","Y","","",0,0,0,"Yes","0:20",1,NA,NA,1,NA,NA,1,NA,NA,NA,20,6942,"Independent",51626,1071,10591,0.20514856,51852,48858,41769,1071,5,"South",0.94225873640361,0,0
"10",9267,"Big C Discount Drugs","AL","Jackson County","Y","Y","","",0,0,0,"Yes","1:11",1,NA,NA,0,NA,"We're out for the year - we used it all out",0,NA,"No - we're out of everything ",NA,71,9267,"Independent",51626,1071,10591,0.20514856,51852,48858,41769,1071,5,"South",0.94225873640361,0,0
"11",4736,"Crossroads Pharmacy","AL","Lauderdale County","Y","Y","","",0,0,0,"Yes","0:05",1,NA,NA,1,NA,NA,1,NA,NA,NA,5,4736,"Independent",92729,1077,19007,0.20497364,92556,81717,48094,1077,4,"South",0.882892519123558,1,0
"12",6183,"Stikine Drug Co.","AK","Wrangell City and Borough","","Y","no vax","",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6183,"Independent",2502,2275,614,0.24540368,2502,1819,53894,2275,6,"West",0.727018385291767,0,2
"13",9033,"Walgreen Drug Store","AZ","Cochise County","Y","Y","5 min wait","Y",0,0,0,"Yes","3:22",1,NA,NA,1,NA,NA,1,NA,NA,NA,202,9033,"Chain",125922,4003,29118,0.23123838,125867,112309,49260,4003,4,"West",0.892283124250201,1,0
"14",5513,"Wal-Mart Discount Pharmacy","AZ","Cochise County","Y","Y","5 min wait","Y",0,0,0,"Yes","1:05",1,NA,NA,1,NA,NA,1,"Hold on let me check to see if there are any left",NA,NA,65,5513,"Chain",125922,4003,29118,0.23123838,125867,112309,49260,4003,4,"West",0.892283124250201,1,0
"15",5074,"Wal-Mart Discount Pharmacy","AZ","Gila County","Y","Y","","",0,0,0,"Yes","0:49",1,NA,NA,1,NA,NA,1,"Yes - we've got plenty of all of them",NA,NA,49,5074,"Chain",54018,4007,15869,0.29377246,53546,42714,43524,4007,5,"West",0.797706644754043,0,0
"16",48,"Lakeside Pharmacy","AZ","Mohave County","Y","N","said they didn't have shingles or flu but was confusing on whether they never do vax or just don't have them now","",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,"Independent",212181,4015,65910,0.31063101,207695,192170,45587,4015,4,"West",0.925250968968921,1,2
"17",7046,"Walgreen Drug Store","AZ","Mohave County","Y","Y","","",0,0,0,"Yes","1:50",1,NA,NA,1,NA,NA,1,NA,NA,NA,110,7046,"Chain",212181,4015,65910,0.31063101,207695,192170,45587,4015,4,"West",0.925250968968921,1,0
"18",2545,"Albertson's Pharmacy Dept. LLC","AZ","Mohave County","Y","Y","no shingles","",0,0,0,"Yes","1:02",0,NA,"No, we're all out of that one",1,NA,NA,1,NA,NA,NA,62,2545,"Chain",212181,4015,65910,0.31063101,207695,192170,45587,4015,4,"West",0.925250968968921,1,0
"19",1649,"Walgreen Drug Store","AZ","Mohave County","Y","Y","","",0,0,0,"Yes","3:03",1,"Yes I do have a few left",NA,1,NA,NA,1,NA,NA,NA,183,1649,"Chain",212181,4015,65910,0.31063101,207695,192170,45587,4015,4,"West",0.925250968968921,1,0
"20",3889,"CVS/Pharmacy","AZ","Mohave County","Y","Y","no shing or reg","Y",0,0,0,"Yes","2:54",0,NA,"No - we should be getting a new shipment in next week",0,NA,"We're all out of the regular",1,NA,NA,NA,174,3889,"Chain",212181,4015,65910,0.31063101,207695,192170,45587,4015,4,"West",0.925250968968921,1,0
"21",8538,"Uptown Drug","AZ","Mohave County","Y","Y","","",0,0,0,"Yes","0:50",1,NA,NA,1,NA,NA,1,NA,NA,NA,50,8538,"Independent",212181,4015,65910,0.31063101,207695,192170,45587,4015,4,"West",0.925250968968921,1,0
